,Battery,Efficiency,Fast_charge,Range,Top_speed,acceleration..0.100.,price
338,46.3,250,290.0,185,130,12.1,68942.5
340,68.0,262,280.0,260,130,13.3,64015.7
341,83.7,195,1060.0,430,250,4.0,130888.29
342,46.3,232,320.0,200,135,11.7,48777.5
344,71.0,192,910.0,370,250,4.0,124869.31
345,46.3,250,290.0,185,130,13.1,56614.6
346,60.0,293,300.0,205,160,12.0,67112.39
347,46.3,250,290.0,185,130,13.1,59328.7
348,68.0,257,290.0,265,130,13.3,67569.1
349,83.7,207,1000.0,405,260,3.2,180255.48
350,60.0,286,200.0,210,160,12.0,75154.41
351,68.0,262,280.0,260,130,13.3,62974.75
352,46.3,250,290.0,185,130,12.1,55581.28
353,46.3,257,290.0,180,130,12.1,69841.75
354,46.3,250,290.0,185,130,13.1,57475.7
355,46.3,257,290.0,180,130,12.1,57475.7
356,46.3,250,290.0,185,130,12.1,61029.1
357,46.3,257,290.0,180,130,12.1,56489.25
358,68.0,257,290.0,265,130,13.3,75482.5
359,46.3,257,290.0,180,130,12.1,62119.1
